video_id,start_sec,end_sec,annotator_id,importance,domain,reason_tag,transcript_hint,needs_review,label_protocol
mfjnDLbCroQ,0.0,2.0,annotator_1,,standup,,"- I live this fuckin' isolated life, man.",false,multimodal_tvsum_style
mfjnDLbCroQ,2.0,4.0,annotator_1,,standup,,"- I live this fuckin' isolated life, man. I go on the road, I'm in green rooms, and I just fuckin', you know,",false,multimodal_tvsum_style
mfjnDLbCroQ,4.0,6.0,annotator_1,,standup,,"and I just fuckin', you know, I'm just by myself all the time.",false,multimodal_tvsum_style
mfjnDLbCroQ,6.0,8.0,annotator_1,,standup,,I'm just by myself all the time. You slowly go fuckin' crazy.,false,multimodal_tvsum_style
mfjnDLbCroQ,8.0,10.0,annotator_1,,standup,,You slowly go fuckin' crazy. I did a gig recently.,false,multimodal_tvsum_style
mfjnDLbCroQ,10.0,12.0,annotator_1,,standup,,I did a gig recently. I was in Ireland and I was in the green room by myself,false,multimodal_tvsum_style
mfjnDLbCroQ,12.0,14.0,annotator_1,,standup,,I was in Ireland and I was in the green room by myself and I went to turn on the light. It was one of those pulse switch,false,multimodal_tvsum_style
mfjnDLbCroQ,14.0,16.0,annotator_1,,standup,,"It was one of those pulse switches and it wound up around itself, looked like a little noose.",false,multimodal_tvsum_style
mfjnDLbCroQ,16.0,18.0,annotator_1,,standup,,"and it wound up around itself, looked like a little noose. And I immediately just thought,",false,multimodal_tvsum_style
mfjnDLbCroQ,18.0,20.0,annotator_1,,standup,,"And I immediately just thought, what if I just stuck my head in there and just?",false,multimodal_tvsum_style
mfjnDLbCroQ,20.0,22.0,annotator_1,,standup,,what if I just stuck my head in there and just? (crowd laughs),false,multimodal_tvsum_style
mfjnDLbCroQ,22.0,24.0,annotator_1,,standup,,(crowd laughs) And just turned the lights out literally and figuratively?,false,multimodal_tvsum_style
mfjnDLbCroQ,24.0,26.0,annotator_1,,standup,,And just turned the lights out literally and figuratively?,false,multimodal_tvsum_style
mfjnDLbCroQ,26.0,28.0,annotator_1,,standup,,Was not thinking about killing myself at all.,false,multimodal_tvsum_style
mfjnDLbCroQ,28.0,30.0,annotator_1,,standup,,"Was not thinking about killing myself at all. The second I thought, oh, what if I just fuckin' did that?",false,multimodal_tvsum_style
mfjnDLbCroQ,30.0,32.0,annotator_1,,standup,,"The second I thought, oh, what if I just fuckin' did that?",false,multimodal_tvsum_style
mfjnDLbCroQ,32.0,34.0,annotator_1,,standup,,"The second I thought, oh, what if I just fuckin' did that? And then I looked in the mirror, I caught my eye, and we both",false,multimodal_tvsum_style
mfjnDLbCroQ,34.0,36.0,annotator_1,,standup,,"I caught my eye, and we both laughed. (crowd laughs)",false,multimodal_tvsum_style
mfjnDLbCroQ,36.0,38.0,annotator_1,,standup,,(crowd laughs) (upbeat music),false,multimodal_tvsum_style
mfjnDLbCroQ,38.0,40.0,annotator_1,,standup,,(upbeat music),false,multimodal_tvsum_style
mfjnDLbCroQ,40.0,42.0,annotator_1,,standup,,"(upbeat music) But, you know, one of the big things that really made me feel old was when McDonald's",false,multimodal_tvsum_style
mfjnDLbCroQ,42.0,44.0,annotator_1,,standup,,that really made me feel old was when McDonald's started making salads.,false,multimodal_tvsum_style
mfjnDLbCroQ,44.0,46.0,annotator_1,,standup,,started making salads.,false,multimodal_tvsum_style
mfjnDLbCroQ,46.0,48.0,annotator_1,,standup,,"That literally ripped my heart out. I'm like, they're doing what?",false,multimodal_tvsum_style
mfjnDLbCroQ,48.0,50.0,annotator_1,,standup,,"I'm like, they're doing what? What?",false,multimodal_tvsum_style
mfjnDLbCroQ,50.0,52.0,annotator_1,,standup,,What? Now they have wraps and they're doing all of this shit.,false,multimodal_tvsum_style
